Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0001,L-0000,0.00,1.00,,,MIRA0001 - NSW Westpac Premium,MIRA0001,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MIRA0001 - NSW Westpac Premium"" ValidCode - Invalid Desc",2.00
I-0001,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
I-0001,L-0002,1.00,1.00,,,,,,,,150005 - NSW Metro - DO NOT DELETE,150005,Gross Up Elimination Actual,-1.0000,,0.00
I-0001,L-0003,1.00,1.00,,,,,,,,MIRA0001 - NSW Westpac Premium,MIRA0001,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MIRA0001 - NSW Westpac Premium"" ValidCode - Invalid Desc",2.00
I-0001,L-0004,1.00,1.00,,,,,,,,MIRA0001 - NSW Westpac Premium,MIRA0001,Gross Up Elimination Actual,1.0000,"To Centre: ""MIRA0001 - NSW Westpac Premium"" ValidCode - Invalid Desc",2.00
I-0002,L-0000,0.00,1.00,,,MI090494 - Premium NSW Regional,MI090494,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0002,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
I-0002,L-0002,1.00,1.00,,,,,,,,150012 - NSW Regional - DO NOT DELETE,150012,Gross Up Elimination Actual,-1.0000,,0.00
I-0002,L-0003,1.00,1.00,,,,,,,,MI090494 - Premium NSW Regional,MI090494,Gross Up Adjustment Actual,-1.0000,,0.00
I-0002,L-0004,1.00,1.00,,,,,,,,MI090494 - Premium NSW Regional,MI090494,Gross Up Elimination Actual,1.0000,,0.00
I-0003,L-0000,0.00,1.00,,,MI731101 - VIC Westpac Premium  Total,MI731101,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MI731101 - VIC Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0003,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
I-0003,L-0002,1.00,1.00,,,,,,,,150200 - VIC/TAS - DO NOT DELETE,150200,Gross Up Elimination Actual,-1.0000,,0.00
I-0003,L-0003,1.00,1.00,,,,,,,,MI731101 - VIC Westpac Premium  Total,MI731101,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MI731101 - VIC Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0003,L-0004,1.00,1.00,,,,,,,,MI731101 - VIC Westpac Premium  Total,MI731101,Gross Up Elimination Actual,1.0000,"To Centre: ""MI731101 - VIC Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0004,L-0000,0.00,1.00,,,MIRB1960 - SA/NT Premium Financial Services Summary,MIRB1960,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MIRB1960 - SA/NT Premium Financial Services Summary"" ValidCode - Invalid Desc",2.00
I-0004,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
I-0004,L-0002,1.00,1.00,,,,,,,,150245 - SA/NT - DO NOT DELETE,150245,Gross Up Elimination Actual,-1.0000,,0.00
I-0004,L-0003,1.00,1.00,,,,,,,,MIRB1960 - SA/NT Premium Financial Services Summary,MIRB1960,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MIRB1960 - SA/NT Premium Financial Services Summary"" ValidCode - Invalid Desc",2.00
I-0004,L-0004,1.00,1.00,,,,,,,,MIRB1960 - SA/NT Premium Financial Services Summary,MIRB1960,Gross Up Elimination Actual,1.0000,"To Centre: ""MIRB1960 - SA/NT Premium Financial Services Summary"" ValidCode - Invalid Desc",2.00
I-0005,L-0000,0.00,1.00,,,MI731103 - WA Westpac Premium  Total,MI731103,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MI731103 - WA Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0005,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
I-0005,L-0002,1.00,1.00,,,,,,,,150240 - WA - DO NOT DELETE,150240,Gross Up Elimination Actual,-1.0000,,0.00
I-0005,L-0003,1.00,1.00,,,,,,,,MI731103 - WA Westpac Premium  Total,MI731103,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MI731103 - WA Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0005,L-0004,1.00,1.00,,,,,,,,MI731103 - WA Westpac Premium  Total,MI731103,Gross Up Elimination Actual,1.0000,"To Centre: ""MI731103 - WA Westpac Premium  Total"" ValidCode - Invalid Desc",2.00
I-0006,L-0000,0.00,1.00,,,MI731102 - PFS QLD Total,MI731102,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MI731102 - PFS QLD Total"" ValidCode - Invalid Desc",2.00
I-0006,L-0001,1.00,1.00,,,,,,,,140017 - Westpac Premium-HO,140017,Gross Up Adjustment Actual,1.0000,"To Centre: ""140017 - Westpac Premium-HO"" ValidCode - Invalid Desc",2.00
