CUSTOMER_ID,no_accounts,amt_borrowed
14080220042,1,41125.01
19383230099,1,122905.74
28683620050,1,41311.5
34891110021,1,250000
46465700019,1,75000
56865530097,1,20000
58833720055,1,9401.7
68187610060,1,8000
97608320065,1,1898.82
3539320052,1,54694.4
8455621002,1,152900
14085530090,1,74780
36661820094,1,9137
67304620061,1,69800
85322030099,1,67890
94779620042,1,46000
23725610086,1,66500.01
31079520085,1,45550
40979620043,1,27700
78128410041,3,171401.93
80681220027,1,36450
14753520040,1,37000
27007210094,1,105200
33806900041,1,213465
63293720076,1,41650
55562820068,1,28990
64377900095,1,20400
74710900048,1,89291.4
85816620021,2,195000
86598320075,1,129990
4676710078,1,50000
5342620077,1,93000
12605100045,2,584327.89
13569810086,1,75000
39650600065,1,63075
40045620082,1,228649.8
51632820066,1,125166
65961820099,2,76513.43
12110920025,1,11272
29583820068,1,2900277
70417110049,3,139188.8
70662720051,1,55162.28
64658720031,1,11040
96755620039,1,165058.38
938420073,1,93597.82
2673720052,1,11324.72
12065221005,2,80609.34
13595320048,1,377271.4
28911031005,1,3884
52843320074,1,62420
53363820066,1,82566
47885921007,2,105954.25
75784720060,1,85600
85594821003,1,91150
19569720096,1,63327
19998821004,1,43821.19
28718020099,2,102150
35028520075,1,102000
51169520087,1,54560
66308820023,1,30025
85933710026,1,59440
88975530094,1,36097.04
5238320074,1,67430
6647720030,1,41000
26850760001,1,195981.61
56201710044,1,61100
588720091,1,42100
853500066,1,130513
6029320021,1,40400
16709310029,1,73000
20011610013,1,170000
21156710001,1,18842.06
77115120083,1,56841
86058810030,1,54613.8
99075620071,1,102382.2
38929621002,1,25075
35401031000,1,30000
47038420025,1,16672.87
47314321008,1,96000
39856130097,1,24770.46
48971821007,1,100000
11440620063,1,23284.81
13278620039,1,28775
45173610033,1,63300
58219820013,1,81350
92519020033,1,105739
16287020012,1,20141.09
33816610048,1,98848.87
46080620026,1,68420
18730610084,1,140900
19336620078,1,3616.8
38647320033,1,67630.36
44230620090,1,26812.22
58173720016,1,46500
66825620046,1,29062.64
67867420012,1,9148
12712020083,1,36000
13713620042,1,39050
38502720052,1,93000
25868420019,1,79250
26573720078,1,10738.25
41895840000,1,58871.87
70767320038,1,34000
79468320055,1,23200
95479620045,1,34100
96993520017,1,58990
9601300018,2,247193.25
11062800090,1,69390
61999620043,1,44000
82641910065,2,42940
81541720059,1,150000
93004820095,1,68000
4633700099,1,43070
18253520042,1,47485.85
56466710066,1,101500
56784310017,1,257015
85483720074,1,46650
86189710048,1,25863.18
91486620088,1,15180
32325310070,1,16665
33468820013,1,14400
40350620046,1,35420
79759420080,2,102900
88529820016,1,11576.4
99557800040,1,128000
2398320045,1,40450
15417610076,1,50000
15746220060,1,17396.5
17201031007,1,40663.09
30429820017,1,31000
55310720044,1,6399.63
75477620078,1,293233.6
74864020094,1,45000
91156920029,1,65046.5
91941110099,1,70000
563820061,1,7901
12995530090,1,85708
13873720050,1,35447
29388810059,1,10260
48299720098,1,41794
5656940006,1,473000
14939820017,1,105000
26004410045,1,6255.85
33876920021,1,30000
48200320028,1,67069.63
48287820024,1,45946
83212820015,1,132031.04
92869520089,1,11077.23
48702460004,1,87000
62067720030,1,26500
59208720038,1,46300
64416620089,1,80635
74082911001,1,46089.43
74512820098,1,105061.41
5521410024,5,696134.52
17772820093,1,6675
25274520047,1,48408.94
35811620078,1,23450
43564530090,1,69065.8
53406220053,2,135003
56505530093,1,31687.71
93807720012,1,80450
94832820095,1,47396.03
14942710070,1,87967.83
22637620095,1,1771.5
46546320034,1,16345
69223910023,1,52421.73
65148920097,1,84000
74599220078,1,73950
85918720090,1,52837.64
79877800084,1,44150
87509720021,1,328195
6170720032,1,44506
23016920022,1,11828.94
32851720061,1,16095.46
42152610073,1,44154
71074310018,1,44432.3
83093310046,1,65450
82079610021,2,349464.85
25556920022,1,32750
39559820016,1,84450
51668110058,5,340179.85
58660010046,1,570460
76907720031,1,115000
79345220046,1,114950
80449820028,1,148940
28123900062,1,30000
53099220044,1,75500
56512820099,2,64700
77758310016,1,48978
93707220096,1,89250
96304610034,4,1666008.47
2066220021,1,47002
36707610050,1,32990
69841920093,1,75934.75
64470200069,1,67716
1340400080,2,119732
13933720061,1,99450
30951120080,1,25730
34201031001,1,44200
37010111002,1,17975.1
48730420085,1,150000
85326410072,1,54695.01
57368720038,1,65000
60395620013,1,54050.93
68299620044,1,129800
64976810016,2,305045
65649810013,1,89315
83749820015,1,46000
39142820096,1,35450
