Index1,Index2,Active Index,Active,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0001,L-0000,0.00,1.00,MICB2075 - WBC AGRI Northern NSW,MICB2075,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0001,L-0001,1.00,1.00,,,,,,096435 - Invoice Finance (WIF) NSW,096435,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0001,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0001,L-0003,1.00,1.00,,,,,,MICB2075 - WBC AGRI Northern NSW,MICB2075,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0001,L-0004,1.00,1.00,,,,,,MICB2075 - WBC AGRI Northern NSW,MICB2075,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0002,L-0000,0.00,1.00,MICB2636 - WBC AGRI Southern NSW,MICB2636,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0002,L-0001,1.00,1.00,,,,,,096435 - Invoice Finance (WIF) NSW,096435,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0002,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0002,L-0003,1.00,1.00,,,,,,MICB2636 - WBC AGRI Southern NSW,MICB2636,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0002,L-0004,1.00,1.00,,,,,,MICB2636 - WBC AGRI Southern NSW,MICB2636,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0003,L-0000,0.00,1.00,MICB2865 - WBC AGRI SA/NT,MICB2865,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0003,L-0001,1.00,1.00,,,,,,096380 - Invoice Finance (WIF) SA/NT,096380,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0003,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0003,L-0003,1.00,1.00,,,,,,MICB2865 - WBC AGRI SA/NT,MICB2865,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0003,L-0004,1.00,1.00,,,,,,MICB2865 - WBC AGRI SA/NT,MICB2865,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0004,L-0000,0.00,1.00,MICB2927 - WBC AGRI Queensland,MICB2927,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0004,L-0001,1.00,1.00,,,,,,096480 - Invoice Finance (WIF) QLD,096480,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0004,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0004,L-0003,1.00,1.00,,,,,,MICB2927 - WBC AGRI Queensland,MICB2927,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0004,L-0004,1.00,1.00,,,,,,MICB2927 - WBC AGRI Queensland,MICB2927,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0005,L-0000,0.00,1.00,MICB2933 - WBC AGRI Northern VIC,MICB2933,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0005,L-0001,1.00,1.00,,,,,,096375 - Invoice Finance (WIF) VIC,096375,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0005,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0005,L-0003,1.00,1.00,,,,,,MICB2933 - WBC AGRI Northern VIC,MICB2933,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0005,L-0004,1.00,1.00,,,,,,MICB2933 - WBC AGRI Northern VIC,MICB2933,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0006,L-0000,0.00,1.00,MICB2940 - WBC AGRI WA,MICB2940,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0006,L-0001,1.00,1.00,,,,,,096426 - Invoice Finance (WIF) WA,096426,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0006,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0006,L-0003,1.00,1.00,,,,,,MICB2940 - WBC AGRI WA,MICB2940,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
