Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-1152,L-0000,0.00,1.00,INETII - Net interest income,INETII,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1152,L-0001,1.00,1.00,,,,,,,,INETII - Net interest income,INETII,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1152,L-0002,1.00,1.00,,,,,,,,INETII - Net interest income,INETII,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1153,L-0000,0.00,1.00,NOINTE - Non-interest income,NOINTE,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1153,L-0001,1.00,1.00,,,,,,,,NOINTE - Non-interest income,NOINTE,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1153,L-0002,1.00,1.00,,,,,,,,NOINTE - Non-interest income,NOINTE,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1154,L-0000,0.00,1.00,XDIREX - Direct expenses,XDIREX,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1154,L-0001,1.00,1.00,,,,,,,,XDIREX - Direct expenses,XDIREX,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1154,L-0002,1.00,1.00,,,,,,,,XDIREX - Direct expenses,XDIREX,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1155,L-0000,0.00,1.00,XDAEXP - Net allocated expenses,XDAEXP,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1155,L-0001,1.00,1.00,,,,,,,,XDAEXP - Net allocated expenses,XDAEXP,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1155,L-0002,1.00,1.00,,,,,,,,XDAEXP - Net allocated expenses,XDAEXP,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1156,L-0000,0.00,1.00,SIMPLO - Impairment charges on loans,SIMPLO,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1156,L-0001,1.00,1.00,,,,,,,,SIMPLO - Impairment charges on loans,SIMPLO,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1156,L-0002,1.00,1.00,,,,,,,,SIMPLO - Impairment charges on loans,SIMPLO,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1157,L-0000,0.00,1.00,ZFTEPD - Paid FTE,ZFTEPD,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1157,L-0001,1.00,1.00,,,,,,,,ZFTEPD - Paid FTE,ZFTEPD,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1157,L-0002,1.00,1.00,,,,,,,,ZFTEPD - Paid FTE,ZFTEPD,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1158,L-0000,0.00,1.00,E9ALL2 - Allocation capital -NIB,E9ALL2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1158,L-0001,1.00,1.00,,,,,,,,E9ALL2 - Allocation capital -NIB,E9ALL2,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1158,L-0002,1.00,1.00,,,,,,,,E9ALL2 - Allocation capital -NIB,E9ALL2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1159,L-0000,0.00,1.00,ALOAN1 - Loans and acceptances - IB,ALOAN1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1159,L-0001,1.00,1.00,,,,,,,,ALOAN1 - Loans and acceptances - IB,ALOAN1,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1159,L-0002,1.00,1.00,,,,,,,,ALOAN1 - Loans and acceptances - IB,ALOAN1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1160,L-0000,0.00,1.00,ALOAN2 - Loans and acceptances -NIB,ALOAN2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1160,L-0001,1.00,1.00,,,,,,,,ALOAN2 - Loans and acceptances -NIB,ALOAN2,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1160,L-0002,1.00,1.00,,,,,,,,ALOAN2 - Loans and acceptances -NIB,ALOAN2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1161,L-0000,0.00,1.00,ALPRO1 - Provisions on loans,ALPRO1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1161,L-0001,1.00,1.00,,,,,,,,ALPRO1 - Provisions on loans,ALPRO1,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1161,L-0002,1.00,1.00,,,,,,,,ALPRO1 - Provisions on loans,ALPRO1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1162,L-0000,0.00,1.00,LCERD1 - Certificates of deposit liability - IB,LCERD1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1162,L-0001,1.00,1.00,,,,,,,,LCERD1 - Certificates of deposit liability - IB,LCERD1,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1162,L-0002,1.00,1.00,,,,,,,,LCERD1 - Certificates of deposit liability - IB,LCERD1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1163,L-0000,0.00,1.00,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1163,L-0001,1.00,1.00,,,,,,,,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1163,L-0002,1.00,1.00,,,,,,,,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1164,L-0000,0.00,1.00,LCUSD1 - Deposits and public borrowings - IB,LCUSD1,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
